0deg,15deg,30deg,45deg,60deg,75deg,90deg,105deg,120deg,135deg,150deg,165deg,180deg,270deg
2078.86377,2084.938477,2084.884766,2089.004395,1994.081055,1994.893921,1981.873901,2027.550171,2023.181274,2009.468018,2027.126831,2025.673218,2028.483643,1982.685669
2078.856445,2083.959961,2083.935791,2090.199707,1992.470337,1993.390991,1983.282959,2028.905762,2023.7948,2009.408447,2026.505981,2025.822021,2028.437988,1983.497559
2079.227783,2084.567871,2083.779785,2089.592041,1991.90918,1991.665039,1984.537231,2029.642212,2026.084717,2009.368042,2027.548096,2026.078491,2029.409302,1984.482544
2079.070557,2083.910156,2083.512695,2089.088867,1989.980713,1989.981201,1988.477173,2031.483398,2026.743408,2010.945923,2027.621704,2024.906372,2029.204468,1984.602295
2078.56665,2083.534424,2082.82373,2089.241211,1989.85498,1990.003174,1990.37146,2030.505005,2026.902466,2012.240967,2027.421631,2025.050903,2029.020142,1986.365967
2078.471191,2083.812744,2082.099609,2089.345215,1987.637573,1987.656738,1991.347656,2031.159424,2029.204346,2012.986694,2028.145142,2025.336914,2029.345703,1987.713501
2079.211914,2083.644287,2082.014893,2089.090088,1986.410767,1984.650391,1994.681763,2033.670654,2029.958862,2013.148315,2026.586914,2024.260132,2028.907959,1990.158936
2078.918701,2083.256348,2080.97876,2089.0979,1986.765381,1981.544922,1995.786499,2034.641846,2029.86084,2014.237061,2028.030029,2025.627197,2028.859375,1992.480347
2078.536621,2083.157959,2080.487793,2087.97583,1984.876221,1979.256714,1999.603394,2037.032837,2030.552124,2015.399902,2028.431152,2023.990112,2028.55481,1995.11731
2078.570068,2082.267334,2079.506592,2087.644775,1984.363037,1974.823364,2005.712646,2038.452637,2032.611938,2016.621338,2027.896851,2023.640869,2028.091431,1996.334473
2078.140381,2081.780518,2079.147949,2087.834961,1984.32312,1971.105469,2009.356323,2039.261597,2034.56665,2018.369751,2028.189087,2023.852295,2027.848877,1999.061768
2077.189209,2081.505127,2078.703369,2086.658691,1983.016235,1969.491333,2017.821167,2040.30835,2032.282959,2018.50708,2027.607178,2023.838379,2027.720093,2002.025269
2076.449463,2080.594482,2078.766602,2086.11792,1981.894287,1966.636963,2019.89624,2041.721924,2034.209106,2019.999023,2027.679199,2023.32373,2027.246094,2005.536499
2076.829346,2080.93457,2077.696045,2084.500244,1981.243042,1964.119629,2024.573364,2042.955322,2033.855713,2022.265625,2028.12854,2023.713989,2026.99707,2007.981445
2076.634277,2079.918701,2077.95166,2084.130859,1981.138184,1963.405762,2029.520752,2045.14209,2037.044189,2023.185913,2029.292969,2022.112183,2026.017822,2011.329834
2076.820312,2079.804932,2077.396484,2082.640625,1981.015259,1962.371216,2029.686401,2046.553711,2038.430908,2023.106567,2029.742187,2021.380005,2026.456177,2014.198242
